"title","description","url","tags","image"
"aigirlfriend","The newest and best AI girlfriend on the market, you can have an exciting date with your beloved girl and generate an unforgettable photo for each exciting scene.","https://aigirlfriend.tw","Text to Image;AI Photo & Image Generator;AI Cosplay Generator","https://sgltrnagsnfqiependff.supabase.co/storage/v1/object/public/images/1743478846539-d8b6ch.jpg"
"AI poem generator","The #1 AI Poem Generator","https://poemgenerator.io","AI Blog Writer;Copywriting;AI Lyrics Generator","https://sgltrnagsnfqiependff.supabase.co/storage/v1/object/public/images/1743478845455-2o7ixq.jpg"
"iFable","Your Personal Anime Universe Generated by AI: Where Every Character is Uniquely Yours","https://ifable.ai","AI Story Writing;AI Illustration Generator;AI Avatar Generator","https://sgltrnagsnfqiependff.supabase.co/storage/v1/object/public/images/1743478846388-bew85n.jpg"
"ROK Solution","Platform for No Code applications and organizational modeling with AI.","https://rok-solution.com/en","AI Productivity Tools;AI Team Collaboration;AI Workflow Management","https://sgltrnagsnfqiependff.supabase.co/storage/v1/object/public/images/1743478887025-5jp3md.jpg"
